🚀2022091,#genre#
中天娛樂,http://61.219.170.95:18521/.m3u8
中天新聞,http://for40255.sytes.net:8099/tv/iptv/live.php?id=ztxw
中天新聞,http://for40255.sytes.net:8099/tv/iptv/live_4gtv.php?vid=4gtv-4gtv009&nid=30
中天新聞,https://ytb.arp220.us/jmsytb.m3u8?c=5
中視 HD,http://for40255.sytes.net:8099/tv/iptv/live_4gtv.php?vid=4gtv-4gtv040&nid=4
中視菁采,http://for40255.sytes.net:8099/tv/iptv/live_4gtv.php?vid=4gtv-4gtv064&nid=123
中視新聞,http://50.7.220.74:8278/ca73a13c37/playlist.m3u8?tid=mee3f06f682eb&ct=18335&tsum=7491cceca17c1e2af05824583855f8bd
中視新聞,http://50.7.220.74:8278/zhongshinews_twn/playlist.m3u8?tid=MAAA4459856044598560&ct=19193&tsum=1b7bdea69c00cd48e31f13442c75c376
中視新聞,http://for40255.sytes.net:8099/tv/iptv/live_4gtv.php?vid=4gtv-4gtv074&nid=33
中視新聞,https://ytb.arp220.us/jmsytb.m3u8?c=9
中視經典,http://50.7.220.74:8278/zhongshi_twn/playlist.m3u8?tid=14379667&ct=17988&tsum=de63d02f44741580b5070077d1949841
公視戲劇,http://for40255.sytes.net:8099/tv/iptv/live_4gtv.php?vid=4gtv-4gtv042&nid=7
民視,http://50.7.220.74:8278/ftvhd_taiwan/playlist.m3u8?tid=15141291&ct=17990&tsum=ab93fcdf581cc3f483e1ceede13312ce
民視,http://50.7.220.74:8278/ftvhd_taiwan/playlist.m3u8?tid=m15b424641a89&ct=18335&tsum=ba82cdbfb8253c45a13df5354e6d0dbc
民視,http://50.7.220.74:8278/ftvhd_taiwan/playlist.m3u8?tid=MF8F2804739628047396&ct=19193&tsum=73a49379fed74f8fc39359fcf589a9d8
民視,http://for40255.sytes.net:8099/tv/iptv/live_4gtv.php?vid=4gtv-4gtv002&nid=3
民視,http://seb.sason.top/ptv/ftv.php?id=ms
民視1,http://for40255.sytes.net:8099/tv/iptv/live_4gtv.php?vid=4gtv-4gtv003&nid=1
民視1,http://seb.sason.top/ptv/ftv.php?id=dy
民視旅遊,http://for40255.sytes.net:8099/tv/iptv/live_4gtv.php?vid=litv-ftv07&nid=61
民視旅遊,http://seb.sason.top/ptv/ftv.php?id=ly
民視新聞,http://38.64.72.148:80/hls/modn/list/4012/chunklist0.m3u8
民視新聞,http://38.64.72.148:80/hls/modn/list/4012/chunklist1.m3u8
民視新聞,http://61.219.170.95:18563/.m3u8
民視新聞,http://for40255.sytes.net:8099/tv/iptv/live.php?id=msxw
民視新聞,http://for40255.sytes.net:8099/tv/iptv/live_4gtv.php?vid=litv-ftv13&nid=31
民視新聞,https://ytb.arp220.us/jmsytb.m3u8?c=7
民視綜藝,http://for40255.sytes.net:8099/tv/iptv/live_4gtv.php?vid=4gtv-4gtv004&nid=16
民視綜藝,http://seb.sason.top/ptv/ftv.php?id=zy
民視臺灣,http://for40255.sytes.net:8099/tv/iptv/live_4gtv.php?vid=4gtv-4gtv001&nid=2
民視臺灣,http://seb.sason.top/ptv/ftv.php?id=tw
民視影劇,http://for40255.sytes.net:8099/tv/iptv/live_4gtv.php?vid=litv-ftv09&nid=24
民視影劇,http://seb.sason.top/ptv/ftv.php?id=yj
年代MUCH,http://59.125.122.90:18558/http/192.168.1.9:8066/hls/210/10010/ch00.m3u8
年代MUCH,http://61.219.170.95:18558/.m3u8
年代MUCH,http://61.219.170.95:18558/http/192.168.1.9:8081/hls/72/814/ch45.m3u8
亞洲旅遊,http://59.125.122.90:18568/http/192.168.1.9:8078/hls/24/80/ch04.m3u8
亞洲旅遊,http://61.219.170.95:18568/.m3u8
亞洲旅遊,http://61.219.170.95:18568/http/192.168.1.9:8081/hls/76/818/ch61.m3u8
亞洲旅遊,http://for40255.sytes.net:8099/tv/iptv/live_4gtv.php?vid=litv-longturn17&nid=250
東風37,http://59.125.122.90:18560/http/192.168.1.9:8066/hls/210/10010/ch00.m3u8
東風37,http://61.219.170.95:18560/.m3u8
東森 LIVE,http://50.7.220.74:8278/ettvnews/playlist.m3u8?tid=m208c21bf386611408694&ct=17874&tsum=d1b4de373c886cd8015974fa8c5d6d12
東森 LIVE,http://50.7.220.74:8278/ettvnews/playlist.m3u8?tid=ME5E8863997888639978&ct=19193&tsum=6b0236441f10a7195fb35fe7997db68c
東森 LIVE,http://for40255.sytes.net:8099/tv/iptv/live.php?id=dsxw
東森洋片,http://113.64.147.7:808/hls/59/index.m3u8
東森洋片,http://120.84.96.69:808/hls/33/index.m3u8
東森美洲,http://38.64.72.148:80/hls/modn/list/2015/chunklist0.m3u8
東森美洲,http://38.64.72.148:80/hls/modn/list/2015/chunklist1.m3u8
東森美洲,http://38.64.72.148:80/hls/modn/list/2026/chunklist0.m3u8
東森美洲,http://38.64.72.148:80/hls/modn/list/2026/chunklist1.m3u8
東森財經,http://50.7.220.74:8278/ettvcaijing_twn/playlist.m3u8?tid=m999b5a0f7fca17599138&ct=17874&tsum=345085d2d6d4401fdb3da968dfee5a54
東森財經,http://for40255.sytes.net:8099/tv/iptv/live.php?id=dscjxw
東森財經,http://for40255.sytes.net:8099/tv/iptv/live_4gtv.php?vid=4gtv-live019&nid=211
東森財經美洲,http://38.64.72.148:80/hls/modn/list/2021/chunklist0.m3u8
東森超視,http://59.125.122.90:18555/http/192.168.1.9:8078/hls/24/80/ch04.m3u8
東森超視,http://61.219.170.95:18555/.m3u8
東森超視,http://61.219.170.95:18555/http/192.168.1.9:8081/hls/64/806/ch14.m3u8
東森超視34.5,http://38.64.72.148:80/hls/modn/list/2018/chunklist0.m3u8
東森超視34.5,http://38.64.72.148:80/hls/modn/list/2018/chunklist1.m3u8
東森新聞,http://61.219.170.95:18512/.m3u8
東森新聞,http://for40255.sytes.net:8099/tv/iptv/live_4gtv.php?vid=4gtv-live114&nid=234
東森電影,http://113.64.147.7:808/hls/58/index.m3u8
東森電影,http://120.84.96.69:808/hls/32/index.m3u8
東森電影,http://50.7.220.74:8278/ettvmovie/playlist.m3u8?tid=md2ba4c243ed411481253&ct=17874&tsum=4637ffbc3260e78931b566300e618313
東森電影,http://50.7.220.74:8278/ettvmovie/playlist.m3u8?tid=MEDE1688528216885282&ct=19193&tsum=843fbd698e260c1fcda128dce85ead3b
東森綜合 ,http://50.7.220.74:8278/ettvzhonghe/playlist.m3u8?tid=m65c4e525f24617101171&ct=17874&tsum=663db593cfeefc92ce4b5d7461988f3f
東森衛視,http://38.64.72.148/hls/modn/list/2024/chunklist0.m3u8
東森戲劇,http://50.7.220.74:8278/ettvdrama/playlist.m3u8?tid=m921dcb630ebe17354109&ct=17874&tsum=695370160923af940d1a90d44c262acc
客家電視,http://for40255.sytes.net:8099/tv/iptv/live_4gtv.php?vid=4gtv-4gtv043&nid=107
星空衛視,http://50.7.220.74:8278/xingwei_movie/playlist.m3u8?tid=ma80888ed462f18082236&ct=17874&tsum=2824e7b9d4ec19ce7b4f8f69d23d7ceb
原民台 ,http://streamipcf.akamaized.net/live/_definst_/live_720/chunklist_b1500.m3u8
原民台 ,http://streamipcf.akamaized.net/live/_definst_/smil:live.smil/chunklist_b3000.m3u8?cuac=guest&cref=http%3A%2F%2Ftitv.ipcf.org.tw%2F
原民台 ,http://streamipcf.akamaized.net/live/_definst_/smil:liveabr.smil/playlist.m3u8
時尚運動X,http://for40255.sytes.net:8099/tv/iptv/live_4gtv.php?vid=4gtv-4gtv014&nid=69
時尚頻道,http://50.7.220.74:8278/fashiontv_twn/playlist.m3u8?tid=MABA6457047364570473&ct=18393&tsum=82840dc94ca1ecca47ac4c26d3ee4afc
博斯高球1,http://50.7.220.74:8278/bosigolf1_twn/playlist.m3u8?tid=MD5D3832704238327042&ct=18393&tsum=cbf3bf749c9b0bf4828ab19efff1c5b0
博斯無限,http://for40255.sytes.net:8099/tv/iptv/live_4gtv.php?vid=litv-longturn10&nid=51
博斯運動2,http://50.7.220.74:8278/bosisport2_twn/playlist.m3u8?tid=mb50f39eebf51&ct=18335&tsum=4f8960c36a3e7f2b069d574293809283
博斯網球,http://50.7.220.74:8278/bositennis_twn/playlist.m3u8?tid=m60f4fd9da4d1&ct=18335&tsum=4d026bfb332da29886aa772f2e149edb
壹新聞 HD,http://60.251.59.180:8501/.m3u8
壹新聞 HD,http://stream.nexttv.com.tw/n001/hd/live.m3u8
壹新聞 HD,http://stream.nexttv.com.tw/n001/playlist.m3u8
華視,http://60.251.59.180:8503/http/60.251.39.91:8081/hls/72/814/ch48.m3u8
華視,http://for40255.sytes.net:8099/tv/iptv/live_4gtv.php?vid=4gtv-4gtv041&nid=6
華視新聞,http://for40255.sytes.net:8099/tv/iptv/live.php?id=hsxw
華視新聞,http://for40255.sytes.net:8099/tv/iptv/live_4gtv.php?vid=4gtv-4gtv052&nid=34
華視新聞,https://ytb.arp220.us/jmsytb.m3u8?c=4
華語綜藝,http://for40255.sytes.net:8099/tv/iptv/live_4gtv.php?vid=4gtv-live006&nid=245
華語戲劇,http://for40255.sytes.net:8099/tv/iptv/live_4gtv.php?vid=4gtv-live005&nid=244
靖天戲劇,http://for40255.sytes.net:8099/tv/iptv/live_4gtv.php?vid=4gtv-4gtv058&nid=116
滾動人文紀實,http://for40255.sytes.net:8099/tv/iptv/live_4gtv.php?vid=4gtv-live012&nid=249
臺視新聞,http://38.64.72.148:80/hls/modn/list/4013/chunklist0.m3u8
臺視新聞,http://38.64.72.148:80/hls/modn/list/4013/chunklist1.m3u8
臺視新聞,http://for40255.sytes.net:8099/tv/iptv/live.php?id=tsxw
臺視新聞,https://ytb.arp220.us/jmsytb.m3u8?c=8
緯來育樂,http://59.125.122.90:18541/http/192.168.1.9:8078/hls/24/80/ch04.m3u8
緯來育樂,http://61.219.170.95:18541/.m3u8
緯來育樂,http://61.219.170.95:18541/http/192.168.1.9:8081/hls/68/810/ch01.m3u8
緯來育樂,http://61.219.170.95:18541/http/192.168.1.9:8081/hls/68/810/ch02.m3u8
緯來育樂,http://61.219.170.95:18541/http/192.168.1.9:8081/hls/68/810/ch03.m3u8
緯來育樂,http://61.219.170.95:18541/playlist.m3u8
緯來電影,http://50.7.220.74:8278/videolandmovie/playlist.m3u8?tid=ma2dac66da407&ct=18335&tsum=9a5a39559f64a71081ef9b3a85f2886c
緯來戲劇 ,http://61.219.170.95:18557/.m3u8
緯來戲劇 ,http://61.219.170.95:18557/http/192.168.1.9:8081/hls/69/811/ch33.m3u8
衛視中文,http://59.125.122.90:18522/http/192.168.1.9:8081/hls/76/818/ch08.m3u8
衛視中文,http://61.219.170.95:18522/.m3u8
衛視中文,http://61.219.170.95:18522/http/192.168.1.9:8081/hls/62/804/ch05.m3u8
衛視電影,http://59.125.122.90:18529/http/192.168.1.9:8078/hls/24/80/ch04.m3u8
衛視電影,http://61.219.170.95:18529/.m3u8
衛視電影,http://61.219.170.95:18529/http/192.168.1.9:8081/hls/62/804/ch07.m3u8
寰宇新聞,http://61.219.170.95:18569/.m3u8
寰宇新聞,http://for40255.sytes.net:8099/tv/iptv/live.php?id=hyxw
寰宇新聞,https://ytb.arp220.us/jmsytb.m3u8?c=6
龍華日韓,http://61.219.170.95:18508/.m3u8
龍華日韓,http://61.219.170.95:18508/http/192.168.1.9:8088/hls/15/80/foxsports2.m3u8
龍華偶像,http://59.125.122.90:18573/http/192.168.1.9:8066/hls/210/10010/ch00.m3u8
龍華偶像,http://61.219.170.95:18573/.m3u8
龍華偶像,http://61.219.170.95:18573/http/192.168.1.9:8066/hls/210/10012/cstv12.m3u8
龍華電影,http://59.125.122.90:18574/http/192.168.1.9:8066/hls/210/10010/ch00.m3u8
龍華電影,http://61.219.170.95:18574/.m3u8
龍華電影,http://61.219.170.95:18574/http/192.168.1.9:8066/hls/210/10014/cstv14.m3u8
鏡新聞,http://for40255.sytes.net:8099/tv/iptv/live_4gtv.php?vid=4gtv-4gtv075&nid=268


CCTV5,http://117.148.129.8/PLTV/88888888/224/3221233115/index.m3u8?$咪咕移動1080P
CCTV5,http://117.148.129.9/PLTV/88888888/224/3221231510/index.m3u8
CCTV5,http://123.6.9.146/live/jz-cctv-5/live.m3u8
CCTV5,http://140.207.241.3:8080/live/program/live/cctv5/1300000/d1.m3u8
CCTV5,http://140.207.241.3:8080/live/program/live/cctv5hd/4000000/mnf.m3u8
CCTV5,http://newvideo.dangtutv.cn:8278/CCTVsports/playlist.m3u8
CCTV5,http://shbu.live.bestvcdn.com.cn:8080/live/program/live/cctv5hd/4000000/mnf.m3u8
CCTV5,http://httplive.slave.bfgd.com.cn:14311/playurl?playtype=live&protocol=http&accesstoken=R5F2408FEU3198804BK78052214IE73560DFP2BF4M340CE68V0Z339CBW1626D4D261E46FEA&playtoken=ABCDEFGH&programid=4200000064?fmt=ts2hls
CCTV5+,http://111.20.33.70/PLTV/88888893/224/3221226221/index.m3u8
CCTV5+,http://111.20.33.93/TVOD/88888893/224/3221226221/index.m3u8
CCTV5+,http://140.207.241.3:8080/live/program/live/cctv5phd/4000000/mnf.m3u8
CCTV5+,http://httplive.slave.bfgd.com.cn:14311/playurl?playtype=live&protocol=http&accesstoken=R5F2408FEU3198804BK78052214IE73560DFP2BF4M340CE68V0Z339CBW1626D4D261E46FEA&playtoken=ABCDEFGH&programid=4200000246
CCTV5+,http://shbu.live.bestvcdn.com.cn:8080/live/program/live/cctv5phd/2300000/mnf.m3u8

##


📻Radio,#genre#
AsiaFM 亞洲天空台,http://funradio.cn:8000/funradio
AsiaFM 亞洲音樂台,http://asiafm.hk:8000/asiafm
AsiaFM 亞洲經典台,http://goldfm.cn:8000/goldfm
Big B Radio-中文流行,http://cpop.bigbradio.net/s
Big B Radio-日語流行,http://jpop.bigbradio.net/s
Big B Radio-洲流行,http://apop.bigbradio.net/s
Big B Radio-韓語流行,http://kpop.bigbradio.net/s
New Pop Hits,http://rfcmedia.streamguys1.com/newpophitspremium.mp3
News98新聞台,http://stream.rcs.revma.com/55tyxsy4qtzuv
News98新聞台,http://n08.rcs.revma.com/55tyxsy4qtzuv?rj-ttl=5&rj-tok=AAABexIiGVkA-wjPtoygVgeNGQ
VOA美國之音,http://voa-11.akacast.akamaistream.net/7/317/322023/v1/ibb.akacast.akamaistream.net/voa-11.mp3
VOA美國之音,http://stream.radiojar.com/7thwu53r92quv
中廣流行網,http://stream.rcs.revma.com/aw9uqyxy2tzuv
中廣音樂網,http://stream.rcs.revma.com/ks4vsmg3qtzuv
中廣新聞網,http://stream.rcs.revma.com/78fm9wyy2tzuv
天籟之音 Hi-Fi Radio,http://play-radio-stream3.hndt.com/now/JxkyN5mR/playlist.m3u8
天籟之音-國風,http://play-radio-stream3.hndt.com/now/UzPxbRaT/playlist.m3u8
天籟古典,http://stream3.hndt.com/now/MdOpB4zP/playlist.m3u8
心靈音樂館,http://play-radio-stream3.hndt.com/now/AFqvb0VX/playlist.m3u8
古典音樂台,http://play.redefine.ltd/Stream2/FM1058-2.m3u8
亞洲經典音樂台,http://live.xmcdn.com:80/live/1005/64.m3u8
飛碟電臺,http://stream.rcs.revma.com/em90w4aeewzuv
格萊美音樂台,http://stream3.hndt.com/now/yorSd1X2/playlist.m3u8
高清音樂台,http://live.xmcdn.com:80/live/1427/64.m3u8
動感音樂台,http://stream3.hndt.com/now/ufjjbZxV/playlist.m3u8
清晨音樂台,http://live.xmcdn.com:80/live/1011/64.m3u8
經典FM,http://stream3.hndt.com/now/C5NvUpwy/playlist.m3u8
臺北廣播電臺AM1134,https://stream.ginnet.cloud/live0130lo-yfyo/_definst_/am/playlist.m3u8
臺北廣播電臺FM93.1,https://stream.ginnet.cloud/live0130lo-yfyo/_definst_/fm/playlist.m3u8
臺灣古典音樂台,http://59.120.88.155:8000/live.mp3

##


💥News,#genre#
TVBS新聞[1920*1080],http://for40255.sytes.net:8099/tv/iptv/live_4gtv.php?vid=4gtv-live072&nid=129
TVBS新聞[1920*1080],rtmp://59.124.75.138/sat/tv551
TVBS新聞[1920*1080],rtmp://59.124.75.150/sat/tv551
TVBS新聞[1920*1080],https://live.6zxr.xyz/tvbs56/index.m3u8?WithCaption
TVBS新聞[1920*1080],https://epg.pm/stream/43712ed6dab7923b7dea00642b5d480dfa0e7e058813646d0591f1a814b9c028.php
TVBS新聞[1920*1080],http://38.64.72.148:80/hls/modn/list/4006/chunklist0.m3u8
TVBS新聞[1920*1080],http://38.64.72.148:80/hls/modn/list/4006/chunklist1.m3u8
TVBS新聞[1920*1080],https://epg.pm/stream/16283b63d7e504d79b517140ed4df01a4fc5f49056634dbf7026a9604048c02b.m3u8

TVBS新聞,http://38.64.72.148:80/hls/modn/list/4006/chunklist0.m3u8
TVBS新聞,http://38.64.72.148:80/hls/modn/list/4006/chunklist1.m3u8
TVBS新聞,http://38.64.72.148:80/hls/modn/list/4006/chunklist0.m3u8
TVBS新聞,http://38.64.72.148:80/hls/modn/list/4006/chunklist1.m3u8
TVBS新聞,http://for40255.sytes.net:8099/tv/iptv/live.php?id=55tvbs
TVBS新聞,https://epg.pm/stream/215ede58359c29ec190657d813abcc47baf7316e7ed87c97638c7bb733df304a.m3u8
TVBS新聞,https://epg.pm/stream/472a4d7fa23f959fa1dcb24e36ec10d6ae18d6cb906e6d655991d3932f7e34d0.m3u8
TVBS新聞,https://epg.pm/stream/89b9d65ef51499ec2871ad2cdc89fbac6b738293ff0b5fb873a7c1accedd446e.php
TVBS新聞,https://epg.pm/stream/ba0c0bbc6995c60e6f017a408ac39421d01c631f558789cde25ad085eeabf16f.m3u8
TVBS新聞,rtmp://59.124.75.138/sat/tv551
TVBS新聞,rtmp://59.124.75.138/sat/tv551
TVBS新聞,mitv://ns2.hellotvvod.com:9906/7949fecb231b440393adcc0eab6c39f6
TVBS新聞,http://172.96.160.182/live/nn.php?id=0038
TVBS新聞,rtmp://59.124.75.138/sat/tv551
TVBS新聞,rtmp://59.124.75.157/sat/tv551
TVBS新聞,http://38.64.72.148:80/hls/modn/list/4006/chunklist0.m3u8

TVBS,mitv://ns2.hellotvvod.com:9906/6fb3f0b6e8024ad38ce5efabd6314f39
TVBS,http://for40255.sytes.net:8099/tv/iptv/live.php?id=55tvbs

TVBS歡樂臺,rtmp://59.124.75.138/sat/tv421
TVBS歡樂臺,rtmp://59.124.75.150/sat/tv421
TVBS歡樂臺,rtmp://59.124.75.138/sat/tv421
TVBS歡樂臺,rtmp://59.124.75.138/sat/tv421
TVBS歡樂臺,mitv://ns2.hellotvvod.com:9906/7966380074104dc3b98a7b01af9c2ce6
TVBS歡樂臺,rtmp://59.124.75.138/sat/tv421
TVBS歡樂臺,rtmp://59.124.75.157/sat/tv421

TVBS國際+,http://38.64.72.148:80/hls/modn/list/4005/chunklist0.m3u8
TVBS國際+,https://git.io/JgYl2
TVBS-Asia,http://38.64.72.148:80/hls/modn/list/4005/chunklist0.m3u8
TVBS-Asia,http://38.64.72.148:80/hls/modn/list/4005/chunklist1.m3u8

寰宇新聞 HD,https://epg.pm/stream/26c3db02da972f97e6ba9a901209b460a87e44fffb4eb4db8bdb699aa81b24c1.m3u8
寰宇新聞 HD,https://epg.pm/stream/64ce0977a8ef4b7d68f8bc54f2aadcc1a021835a7f53aebd9199c199bc99cddc.php
寰宇新聞,http://59.125.101.187:10744/http/192.168.77.24:8081/hls/76/818/ch61.m3u8?token=7375646f1298469fcd2cecf4cc31d29c6f203f0d
寰宇新聞,http://60.251.59.180:8510/http/116.50.42.19:8081/hls/76/818/ch62.m3u8
寰宇新聞,https://live.6zxr.xyz/fhwszw/index.m3u8?WithCaption
寰宇新聞,https://epg.pm/stream/9af1335b80e401babf373367f9c8a216ce6e278bc9a7f1224b0b79ced8e65896.m3u8
寰宇新聞,https://git.io/JgkpO
寰宇新聞,https://git.io/JgkpO
寰宇新聞,mitv://ns2.hellotvvod.com:9906/94c59fa38c01431a86215ba91066863d
寰宇新聞 HD,http://for40255.sytes.net:8099/tv/iptv/live.php?id=hyxw


非凡新聞,http://125.227.210.37:15078/VideoInput/play.ts
非凡新聞,http://125.227.210.37:15078/VideoInput/play.ts
非凡新聞,mitv://ns2.hellotvvod.com:9906/920cf696e96d45928d7f9ce4ddc94ad7

東森財經新聞,rtmp://59.124.75.138/sat/tv571
東森財經新聞,rtmp://59.124.75.157/sat/tv571
東森財經新聞,http://seb.sason.top/sc/dscjxw_fhd.m3u8
東森財經新聞,mitv://ns2.hellotvvod.com:9906/c1cd1a425c2d47c3b62c66c51776c6d8
東森財經新聞 HD LIVE,https://epg.pm/stream/3f033ad20b8cbcd9fb2e72e72d7eec529f7b7f09181b4051146de288e33edacc.m3u8
東森財經新聞 HD LIVE,https://epg.pm/stream/fe6fc603c9c958574f78101d0ba91b0421ae0fe864faa1411972971665643095.m3u8
東森財經新聞1 HD,http://for40255.sytes.net:8099/tv/iptv/live_4gtv.php?vid=4gtv-live019&nid=211
東森財經新聞1 HD,rtmp://59.124.75.138/sat/tv571
東森財經新聞1 HD,rtmp://59.124.75.150/sat/tv571
東森財經新聞1 HD,https://epg.pm/stream/b2ed5c7047cf73ef9be80e450b995aec8075d976436ebe442613dbd854bbdbc0.php
